Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
1,,,,,,76.68275629,30.65679339,247.872,0.025,0.024,0.056,0.035,1.834,m,FLOAT,2023-04-27 16:13:37.2 UTC+05:30,2023-04-27 16:13:37.2 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,52.902,Global CS
2,,,,,,76.68275918,30.65678555,243.927,0.011,0.010,0.021,0.015,1.834,m,FIX,2023-04-27 16:17:31.4 UTC+05:30,2023-04-27 16:17:31.4 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,52.071,Global CS
3,,,,,,76.68275940,30.65678547,243.942,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:17:32.8 UTC+05:30,2023-04-27 16:17:32.8 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,52.056,Global CS
4,,,,,,76.68276237,30.65678840,249.589,0.024,0.022,0.058,0.033,1.834,m,SINGLE,2023-04-27 16:20:53.6 UTC+05:30,2023-04-27 16:20:53.6 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,52.249,Global CS
5,,,,,,76.68275530,30.65680001,249.805,0.014,0.010,0.025,0.017,1.834,m,FIX,2023-04-27 16:20:56.8 UTC+05:30,2023-04-27 16:20:56.8 UTC+05:30,1,1.7,,,,76.68293478,30.65634194,248.818,53.694,Global CS
6,,,,,,76.68274304,30.65681221,249.776,0.011,0.010,0.024,0.015,1.834,m,FIX,2023-04-27 16:20:58.8 UTC+05:30,2023-04-27 16:20:58.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,55.352,Global CS
7,,,,,,76.68273068,30.65681909,249.794,0.012,0.010,0.023,0.016,1.834,m,FIX,2023-04-27 16:21:00.4 UTC+05:30,2023-04-27 16:21:00.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,56.471,Global CS
8,,,,,,76.68271873,30.65682894,249.750,0.011,0.010,0.022,0.015,1.834,m,FIX,2023-04-27 16:21:02.2 UTC+05:30,2023-04-27 16:21:02.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,57.894,Global CS
9,,,,,,76.68270808,30.65684002,249.725,0.011,0.010,0.021,0.015,1.834,m,FIX,2023-04-27 16:21:04.0 UTC+05:30,2023-04-27 16:21:04.0 UTC+05:30,1,1.7,,,,76.68293478,30.65634194,248.818,59.405,Global CS
10,,,,,,76.68269409,30.65685025,249.810,0.011,0.010,0.020,0.015,1.834,m,FIX,2023-04-27 16:21:06.0 UTC+05:30,2023-04-27 16:21:06.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,60.960,Global CS
11,,,,,,76.68268321,30.65685905,249.698,0.011,0.010,0.022,0.015,1.834,m,FIX,2023-04-27 16:21:07.6 UTC+05:30,2023-04-27 16:21:07.6 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,62.254,Global CS
12,,,,,,76.68266775,30.65687004,249.696,0.010,0.010,0.021,0.014,1.834,m,FIX,2023-04-27 16:21:09.8 UTC+05:30,2023-04-27 16:21:09.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,63.957,Global CS
13,,,,,,76.68265340,30.65688168,249.731,0.011,0.010,0.023,0.015,1.834,m,FIX,2023-04-27 16:21:12.2 UTC+05:30,2023-04-27 16:21:12.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,65.694,Global CS
14,,,,,,76.68263675,30.65689173,249.687,0.010,0.010,0.023,0.014,1.834,m,FIX,2023-04-27 16:21:14.2 UTC+05:30,2023-04-27 16:21:14.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,67.370,Global CS
